"FeatureClass	FeatureCode	Navn	Merknad	BokmÌ´l	Nynorsk	Kvensk	Finsk	Engelsk";
"H	SHOL	shoal(s)	a surface-navigation hazard composed of unconsolidated material	sandgrunne	sandgrunne	karkko	kari	shoal";
"H	SILL	sill	the low part of an underwater gap or saddle separating basins, including a similar feature at the mouth of a fjord	terskel	terskel	niska	sisÌ_Ì_nkÌ_ynti	sill";
"H	SPNG	spring(s)	a place where ground water flows naturally out of the ground	kilde	kjelde	kalttii	lÌ_hde	spring";
"H	SPNS	sulphur spring(s)	a place where sulphur ground water flows naturally out of the ground	svovelkilde	svovelkjelde	svoovelikalttii	rikkilÌ_hde	sulphur spring";
"H	SPNT	hot spring(s)	a place where hot ground water flows naturally out of the ground	varm kilde	varm kjelde	kuuma kalttii	kuuma lÌ_hde	hot spring";
"H	STM	stream	a body of running water moving to a lower level in a channel on land	bekk	bekk	oja	virta	stream";
"H	STMA	anabranch	a diverging branch flowing out of a main stream and rejoining it downstream	elvearm	elvearm	jovenhaara		anabranch";
"H	STMB	stream bend	a conspicuously curved or bent segment of a stream	elvesving	elvesving	joven mukka	joen haara	stream bend";
"H	STMC	canalized stream	a stream that has been substantially ditched, diked, or straightened	kanalisert bekk	kanalisert bekk	kanaali-oja	kanavoitu joki	canalized stream";
"H	STMD	distributary(-ies)	a branch which flows away from the main stream, as in a delta or irrigation canal	elvearm	elvearm	pu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôaspu€Ôas		distributary";
"H	STMD	distributary(-ies)	a branch which flows away from the main stream, as in a delta or irrigation canal	elvearm	elvearm	uitto		distributary";
"H	STMH	headwaters	the source and upper part of a stream, including the upper drainage basin	utspring	utspring	joven latva	latvavedet	headwaters";
