"Lemma","POS","trans","tPOS","1stamme","2stamme","syntrans","syntransPOS","syntrans2","syntrans2POS","syntrans3","syntrans3POS","syneks","syneks2","syneks3"
"ujo","adj","beskjeden",,"ujjo-",,"blyg",,,,,,,,
"notkee","adj","smidig",,"-","-","spenstig",,,,,,,,
"tanska","adj","dansk",,"-","-",,,,,,,,,
"ikävä","adj","trasig",,"-","-","trist",,,,,,,,
"entinen","adj","forhenværende",,"entise-","-","tidligere",,,,,,,,
"sininen","adj","blå –tt",,"sinise-","sinis-",,,,,,,,,
"oransi","adj","oransje",,"-","-",,,,,,,,,
"lihava","adj","fet","a1","-","-","tyk|k","a1",,,,,,,
"vähänen","adj","liten",,"vähäse-","vähäs-","ubetydelig",,,,,,,,
"liikkumaton","adj","urørlig",,"liikkumattoma-","-","ubevegelig",,,,,,,,
"ikävä","adj","trasig",,"-","-","trist",,,,,,,,
"pirulinen","adj","djevelsk",,"pirulise-","pirulis-","trollet",,,,,,,,
"lihava","adj","fet","a1","-","-","tyk|k","a1",,,,,,,
"itteläinen","adj","egen",,"itteläise-","itteläis-","sær","a1","ekkel",,,,,,
"senlainen","adj","slik","a1","senlaise-","senlais-","sån|n","a1",,,,,,,
"murheelinen","adj","sørgelig",,"murheelise-","murheelis-","sørgmodig",,,,,,,,
"itteläinen","adj","egen",,"itteläise-","itteläis-","sær","a1","ekkel",,,,,,
"tällainen","adj","sånn her",,"tällaise-","tällais-",,,,,,,,,
"senlainen","adj","slik","a1","senlaise-","senlais-","sån|n","a1",,,,,,,
"vesinen","adj","vannete",,"vesise-","vesis-","våt",,,,,,,,
"ittenäinen","adj","selvstendig",,"ittenäise-","ittenäis-","sjølstendig",,,,,,,,
"entinen","adj","forhenværende",,"entise-","-","tidligere",,,,,,,,
"tämmänen","adj","slik",,"tämmäse-","tämmäs-","sånn",,,,,,,,
"tämmänen","adj","slik",,"tämmäse-","tämmäs-","sånn",,,,,,,,
"outo","adj","fremmed",,"ouðo-","outto-","uvanlig",,,,,,,,
"puoli","adj","halv","a1","puole-","puol-",,,,,,,,,
